,cbs_grid_code,livability_score
0,E1068N3982,2.42390746926712
1,E1071N4012,2.376780302275761
2,E1073N4018,2.533114964672104
3,E1074N4011,2.4058251103923376
4,E1074N4017,2.502466104974352
5,E1075N4005,2.343563705689067
6,E1075N4006,2.3490739553649136
7,E1075N4007,2.350150020055524
8,E1075N4008,2.375981743604336
9,E1075N4009,2.404968555864272
10,E1075N4011,2.3870855728086267
11,E1075N4015,2.4789928772993264
12,E1075N4016,2.471945519280706
13,E1075N4017,2.479012253643922
14,E1075N4018,2.477409805075778
15,E1076N3965,2.368633157562154
16,E1076N4005,2.342718285464996
17,E1076N4006,2.3107740032808697
18,E1076N4007,2.295785117908055
19,E1076N4008,2.2834425770699163
20,E1076N4009,2.386950377407694
21,E1076N4010,2.377350475134648
22,E1076N4011,2.385565457833273
23,E1076N4014,2.4772758961610992
24,E1076N4015,2.478177119456645
25,E1076N4016,2.472944359220133
26,E1076N4017,2.47451467074737
27,E1076N4018,2.466546031144265
28,E1076N4019,2.422918817889992
29,E1076N4020,2.436072220133377
30,E1077N4005,2.324772321123424
31,E1077N4006,2.269479015025916
32,E1077N4007,2.282432609947912
33,E1077N4008,2.28284472700105
34,E1077N4009,2.3326691422481165
35,E1077N4010,2.355579006515445
36,E1077N4011,2.377764804369344
37,E1077N4014,2.4952719104308265
38,E1077N4015,2.4896596219128564
39,E1077N4016,2.476359560629243
40,E1077N4017,2.4751687377885934
41,E1077N4018,2.437080440503153
42,E1077N4019,2.433235137601454
43,E1078N4005,2.334029699920269
44,E1078N4006,2.2845070221349784
45,E1078N4007,2.2941522205663416
46,E1078N4008,2.2997638948622297
47,E1078N4009,2.307890090025841
48,E1078N4010,2.31501313619427
49,E1078N4011,2.3337789759673595
50,E1078N4013,2.443314433692664
51,E1078N4014,2.48083419288936
52,E1078N4016,2.465040849004955
53,E1078N4017,2.4686637192089984
54,E1078N4018,2.4275458917378048
55,E1079N4004,2.4148705300407154
56,E1079N4005,2.357945984855701
57,E1079N4006,2.3182236739554023
58,E1079N4007,2.320166344402192
59,E1079N4008,2.3217110831545136
60,E1079N4009,2.2973506812398314
61,E1079N4010,2.3078128703552303
62,E1079N4011,2.303057287839376
63,E1079N4012,2.344283445973971
64,E1079N4013,2.4028105753791547
65,E1079N4014,2.4332924697372165
66,E1079N4015,2.436029884029147
67,E1079N4016,2.42758709275592
68,E1079N4017,2.4165263049018666
69,E1079N4018,2.385271119562751
70,E1079N4019,2.382894376640249
71,E1080N4004,2.485643516158065
72,E1080N4005,2.470427341621551
73,E1080N4006,2.385688437103386
74,E1080N4007,2.348120413158485
